text,emergency_type,severity,clean_text
violent fight in public place,crime,medium,violent fight public place
suspicious activity noticed,crime,medium,suspicious activity noticed
flood water entering house,natural_disaster,high,flood water entering house
fire in kitchen spreading fast,fire,high,fire kitchen spreading fast
landslide blocking road,natural_disaster,medium,landslide blocking road
storm damaged houses,natural_disaster,high,storm damaged houses
slipped and fell on stairs,accident,high,slipped fell stairs
unconscious after fall,medical,high,unconscious fall
train accident reported,accident,low,train accident reported
cyclone warning issued,natural_disaster,high,cyclone warning issued
fire in warehouse,fire,medium,fire warehouse
person attacked on street,crime,medium,person attacked street
burn injury on hand,medical,medium,burn injury hand
small fire in dustbin,fire,medium,small fire dustbin
truck collided with bus,accident,medium,truck collided bus
train accident reported,accident,low,train accident reported
child fainted in school,medical,high,child fainted school
unconscious after fall,medical,low,unconscious fall
heatwave causing illness,natural_disaster,high,heatwave causing illness
heavy rain causing traffic block,natural_disaster,high,heavy rain causing traffic block
tsunami alert issued,natural_disaster,high,tsunami alert issued
heatwave causing illness,natural_disaster,high,heatwave causing illness
kidnapping suspected,crime,medium,kidnapping suspected
house break in reported,crime,high,house break reported
armed threat reported,crime,medium,armed threat reported
landslide blocking road,natural_disaster,medium,landslide blocking road
person hit by vehicle,accident,low,person hit vehicle
multiple vehicle collision,accident,high,multiple vehicle collision
earthquake shaking buildings,natural_disaster,high,earthquake shaking buildings
armed threat reported,crime,medium,armed threat reported
high fever with vomiting,medical,high,high fever vomiting
car caught fire,fire,medium,car caught fire
slipped and fell on stairs,accident,low,slipped fell stairs
violent fight in public place,crime,medium,violent fight public place
unconscious after fall,medical,high,unconscious fall
multiple vehicle collision,accident,medium,multiple vehicle collision
person attacked on street,crime,medium,person attacked street
flood water entering house,natural_disaster,high,flood water entering house
house fire at night,fire,low,house fire night
forest fire nearby,fire,medium,forest fire nearby
child fainted in school,medical,low,child fainted school
snatching incident occurred,crime,medium,snatching incident occurred
drought affecting crops,natural_disaster,medium,drought affecting crops
difficulty in breathing,medical,low,difficulty breathing
drought affecting crops,natural_disaster,medium,drought affecting crops
minor road accident no injuries,accident,low,minor road accident injuries
allergic reaction swelling face,medical,medium,allergic reaction swelling face
suspicious activity noticed,crime,high,suspicious activity noticed
fire in kitchen spreading fast,fire,medium,fire kitchen spreading fast
difficulty in breathing,medical,high,difficulty breathing
car caught fire,fire,medium,car caught fire
storm damaged houses,natural_disaster,high,storm damaged houses
small fire in dustbin,fire,high,small fire dustbin
gas cylinder caught fire,fire,medium,gas cylinder caught fire
house fire at night,fire,high,house fire night
storm damaged houses,natural_disaster,high,storm damaged houses
car caught fire,fire,low,car caught fire
small fire in dustbin,fire,medium,small fire dustbin
forest fire nearby,fire,high,forest fire nearby
child fainted in school,medical,high,child fainted school
cyclone warning issued,natural_disaster,high,cyclone warning issued
sudden stroke symptoms,medical,medium,sudden stroke symptoms
person hit by vehicle,accident,medium,person hit vehicle
unconscious after fall,medical,medium,unconscious fall
storm damaged houses,natural_disaster,high,storm damaged houses
theft in shop,crime,medium,theft shop
gas cylinder caught fire,fire,low,gas cylinder caught fire
slipped and fell on stairs,accident,medium,slipped fell stairs
landslide blocking road,natural_disaster,high,landslide blocking road
suspicious activity noticed,crime,high,suspicious activity noticed
tsunami alert issued,natural_disaster,medium,tsunami alert issued
drought affecting crops,natural_disaster,medium,drought affecting crops
truck collided with bus,accident,low,truck collided bus
house fire at night,fire,low,house fire night
river overflow flooding village,natural_disaster,medium,river overflow flooding village
heatwave causing illness,natural_disaster,high,heatwave causing illness
person attacked on street,crime,high,person attacked street
difficulty in breathing,medical,low,difficulty breathing
car crash on highway with injuries,accident,medium,car crash highway injuries
difficulty in breathing,medical,medium,difficulty breathing
house break in reported,crime,medium,house break reported
fire in warehouse,fire,high,fire warehouse
person hit by vehicle,accident,low,person hit vehicle
fire in kitchen spreading fast,fire,medium,fire kitchen spreading fast
small fire in dustbin,fire,low,small fire dustbin
earthquake shaking buildings,natural_disaster,medium,earthquake shaking buildings
flood water entering house,natural_disaster,medium,flood water entering house
person collapsed and not breathing,medical,low,person collapsed breathing
train accident reported,accident,high,train accident reported
